"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FZD5",4.48554467258578e-07,0.317006949921256,0.512,0.282,0.0100485171755267,"2","FZD5"
"SNORC",4.89941107141999e-07,0.419329764867086,0.654,0.371,0.0109756606821951,"2","SNORC"
"ACAT1",4.97677569509802e-07,0.394126836262048,0.665,0.445,0.0111489729121586,"2","ACAT1"
"NUPR1",5.18570647643829e-07,0.478947983927656,0.815,0.518,0.0116170196485171,"2","NUPR1"
"PID1",5.80893270573812e-07,0.307350979926836,0.463,0.216,0.0130131710473945,"2","PID1"
"HIGD1A",6.48109865372374e-07,0.435031406105047,0.797,0.618,0.0145189572040719,"2","HIGD1A"
"TMEM176B",7.05419397162482e-07,0.332230080729795,0.868,0.635,0.0158028053352339,"2","TMEM176B"
"LGR4",7.09245875616275e-07,0.354238308453428,0.559,0.307,0.0158885261055558,"2","LGR4"
"SLC51B",7.55336775858378e-07,0.266889966991715,0.244,0.052,0.0169210544527794,"2","SLC51B"
"RNF1861",8.14505198887448e-07,0.4983142084356,0.671,0.366,0.0182465454654766,"2","RNF186"
"LGALS3BP",8.40839723191188e-07,0.527929604993596,0.96,0.719,0.018836491478929,"2","LGALS3BP"
"STAP2",8.82630521575603e-07,0.502093987040827,0.79,0.519,0.0197726889443367,"2","STAP2"
"ATP5PB",9.28883878840369e-07,0.545823906985553,0.944,0.83,0.0208088566537819,"2","ATP5PB"
"SERINC2",1.04204070511767e-06,0.329340229939817,0.867,0.656,0.0233437958760459,"2","SERINC2"
"ATP5F1B",1.16592157597011e-06,0.576691260576007,0.972,0.903,0.0261189751448823,"2","ATP5F1B"
"PPP1R12B",1.16842851733431e-06,0.417599298910507,0.52,0.239,0.0261751356453233,"2","PPP1R12B"
"SERINC51",1.18445167892058e-06,0.236314289273271,0.723,0.559,0.0265340865111788,"2","SERINC5"
"ENDOD1",1.19729465328442e-06,0.249978856801358,0.395,0.196,0.0268217948228776,"2","ENDOD1"
"CMTM4",1.25835727040704e-06,0.382636226111293,0.534,0.304,0.0281897195716586,"2","CMTM4"
"FAM177A11",1.2991427109025e-06,0.365668493852078,0.883,0.727,0.0291033950096378,"2","FAM177A1"
"ZNF91",1.34379346059543e-06,0.254220964304331,0.521,0.332,0.0301036611042588,"2","ZNF91"
"MRPL27",1.40061824576468e-06,0.281067190723683,0.775,0.613,0.0313766499416203,"2","MRPL27"
"PPIC",1.44890167297561e-06,0.435369853958437,0.809,0.566,0.0324582952779995,"2","PPIC"
"CDKN2B",1.50943106131457e-06,0.246021443054773,0.316,0.098,0.0338142746355689,"2","CDKN2B"
"NDUFB10",1.51606080310303e-06,0.542069760841757,0.951,0.86,0.0339627941111141,"2","NDUFB10"
"MUC20-OT1",1.59652924587011e-06,0.464032727331668,0.783,0.54,0.0357654481659822,"2","MUC20-OT1"
"KLF6",1.60598908117404e-06,0.618951684618506,0.917,0.811,0.0359773673964609,"2","KLF6"
"CLTB1",1.63903123309068e-06,0.363930291412703,0.913,0.767,0.0367175776836974,"2","CLTB"
"LMNA",1.64158193050404e-06,0.425480013367924,0.937,0.772,0.0367747184071514,"2","LMNA"
"FAM3C",1.69549858037149e-06,0.558297425413273,0.721,0.534,0.0379825591974821,"2","FAM3C"
"NEO1",1.73710239981328e-06,0.310496702113492,0.532,0.299,0.0389145679606171,"2","NEO1"
"TMEM45B1",1.75662363578858e-06,0.275195466761752,0.733,0.486,0.0393518826889357,"2","TMEM45B"
"ZBTB7A",1.77352551898784e-06,0.461558240826871,0.793,0.575,0.0397305186763655,"2","ZBTB7A"
